c,rho,shrinkage,Xr,metabolic exponent
0.05,0.79,0.0,100,0.75
0.05,0.79,0.015789473684210527,100,0.75
0.05,0.79,0.031578947368421054,100,0.75
0.05,0.79,0.04736842105263158,100,0.75
0.05,0.79,0.06315789473684211,100,0.75
0.05,0.79,0.07894736842105263,100,0.75
0.05,0.79,0.09473684210526316,100,0.75
0.05,0.79,0.1105263157894737,100,0.75
0.05,0.79,0.12631578947368421,100,0.75
0.05,0.79,0.14210526315789473,100,0.75
0.05,0.79,0.15789473684210525,100,0.75
0.05,0.79,0.1736842105263158,100,0.75
0.05,0.79,0.18947368421052632,100,0.75
0.05,0.79,0.20526315789473684,100,0.75
0.05,0.79,0.2210526315789474,100,0.75
0.05,0.79,0.2368421052631579,100,0.75
0.05,0.79,0.25263157894736843,100,0.75
0.05,0.79,0.26842105263157895,100,0.75
0.05,0.79,0.28421052631578947,100,0.75
0.05,0.79,0.3,100,0.75
