c,rho,Xr,Xr,metabolic exponent
0.02,1.35,0.5,30.0,1
0.01,1.49,1.7291666666666667,30.0,1
0.02,1.23,2.9583333333333335,30.0,1
0.03,1.09,4.1875,30.0,1
0.02,1.22,5.416666666666667,30.0,1
0.09,0.73,6.645833333333334,30.0,1
0.01,1.44,7.875,30.0,1
0.12,0.64,9.104166666666668,30.0,1
0.08,0.77,10.333333333333334,30.0,1
0.1,0.7,11.5625,30.0,1
0.11,0.67,12.791666666666668,30.0,1
0.11,0.67,14.020833333333334,30.0,1
0.2,0.48,15.25,30.0,1
0.22,0.45,16.479166666666668,30.0,1
0.25,0.41,17.708333333333336,30.0,1
0.25,0.41,18.9375,30.0,1
0.25,0.41,20.166666666666668,30.0,1
0.39,0.27,21.395833333333336,30.0,1
0.01,1.43,22.625,30.0,1
0.01,1.43,23.854166666666668,30.0,1
0.01,1.43,25.083333333333336,30.0,1
0.01,1.43,26.3125,30.0,1
0.01,1.43,27.541666666666668,30.0,1
0.01,1.43,28.770833333333336,30.0,1
0.01,1.43,30.0,30.0,1
