c,rho,meta_exp,Xr,metabolic exponent
0.05,0.79,0.75,100,1.0000000000000002
0.05,0.82,0.76,100,1.0000000000000002
0.19,0.8,0.77,100,1.0000000000000002
0.36,0.81,0.78,100,1.0000000000000002
0.24,0.79,0.79,100,1.0000000000000002
0.02,0.86,0.8,100,1.0000000000000002
0.15,0.62,0.81,100,1.0000000000000002
0.27,0.54,0.8200000000000001,100,1.0000000000000002
0.25,0.53,0.8300000000000001,100,1.0000000000000002
0.02,0.8,0.8400000000000001,100,1.0000000000000002
0.09,0.63,0.8500000000000001,100,1.0000000000000002
0.39,0.43,0.8600000000000001,100,1.0000000000000002
0.22,0.5,0.8700000000000001,100,1.0000000000000002
0.1,0.62,0.8800000000000001,100,1.0000000000000002
0.17,0.53,0.8900000000000001,100,1.0000000000000002
0.27,0.44,0.9000000000000001,100,1.0000000000000002
0.05,0.77,0.9100000000000001,100,1.0000000000000002
0.02,0.98,0.9200000000000002,100,1.0000000000000002
0.04,0.85,0.9300000000000002,100,1.0000000000000002
0.31,0.38,0.9400000000000002,100,1.0000000000000002
0.29,0.39,0.9500000000000002,100,1.0000000000000002
0.02,1.09,0.9600000000000002,100,1.0000000000000002
0.01,1.31,0.9700000000000002,100,1.0000000000000002
0.17,0.53,0.9800000000000002,100,1.0000000000000002
0.04,0.97,0.9900000000000002,100,1.0000000000000002
0.02,1.21,1.0000000000000002,100,1.0000000000000002
