c,rho,alpha,Xr,metabolic exponent
0.01,1.44,1,0.01,0.75
0.01,1.31,2,0.01,0.75
0.01,1.26,3,0.01,0.75
0.01,1.24,4,0.01,0.75
0.01,1.22,5,0.01,0.75
0.01,1.21,6,0.01,0.75
0.01,1.2,7,0.01,0.75
0.01,1.19,8,0.01,0.75
0.01,1.19,9,0.01,0.75
0.02,1.15,10,0.01,0.75
0.05,1.1,11,0.01,0.75
0.09,1.07,12,0.01,0.75
0.05,1.09,13,0.01,0.75
0.17,1.02,14,0.01,0.75
0.11,1.02,15,0.01,0.75
0.3,0.96,16,0.01,0.75
0.16,0.95,17,0.01,0.75
0.01,1.06,18,0.01,0.75
0.01,1.05,19,0.01,0.75
0.21,0.9,20,0.01,0.75
