c,rho,meta_exp,Xr,metabolic exponent
0.02,0.57,0.75,0.01,1.0000000000000002
0.03,0.56,0.76,0.01,1.0000000000000002
0.34,0.49,0.77,0.01,1.0000000000000002
0.36,0.49,0.78,0.01,1.0000000000000002
0.18,0.52,0.79,0.01,1.0000000000000002
0.02,0.59,0.8,0.01,1.0000000000000002
0.01,0.62,0.81,0.01,1.0000000000000002
0.21,0.53,0.8200000000000001,0.01,1.0000000000000002
0.06,0.59,0.8300000000000001,0.01,1.0000000000000002
0.05,0.62,0.8400000000000001,0.01,1.0000000000000002
0.37,0.58,0.8500000000000001,0.01,1.0000000000000002
0.33,0.63,0.8600000000000001,0.01,1.0000000000000002
0.24,0.7,0.8700000000000001,0.01,1.0000000000000002
0.28,0.75,0.8800000000000001,0.01,1.0000000000000002
0.09,0.82,0.8900000000000001,0.01,1.0000000000000002
0.04,0.87,0.9000000000000001,0.01,1.0000000000000002
0.1,0.83,0.9100000000000001,0.01,1.0000000000000002
0.31,0.77,0.9200000000000002,0.01,1.0000000000000002
0.01,0.99,0.9300000000000002,0.01,1.0000000000000002
0.34,0.77,0.9400000000000002,0.01,1.0000000000000002
0.23,0.8,0.9500000000000002,0.01,1.0000000000000002
0.36,0.77,0.9600000000000002,0.01,1.0000000000000002
0.02,1.0,0.9700000000000002,0.01,1.0000000000000002
0.37,0.77,0.9800000000000002,0.01,1.0000000000000002
0.21,0.82,0.9900000000000002,0.01,1.0000000000000002
0.02,1.04,1.0000000000000002,0.01,1.0000000000000002
