c,rho,shrinkage,Xr,metabolic exponent
,,0.0,0.01,1
0.16,0.74,0.015789473684210527,0.01,1
0.26,0.76,0.031578947368421054,0.01,1
0.05,0.95,0.04736842105263158,0.01,1
0.38,0.79,0.06315789473684211,0.01,1
0.04,1.02,0.07894736842105263,0.01,1
0.06,1.0,0.09473684210526316,0.01,1
0.03,1.08,0.1105263157894737,0.01,1
0.33,0.87,0.12631578947368421,0.01,1
0.27,0.9,0.14210526315789473,0.01,1
0.16,0.96,0.15789473684210525,0.01,1
0.22,0.94,0.1736842105263158,0.01,1
0.3,0.92,0.18947368421052632,0.01,1
0.14,1.0,0.20526315789473684,0.01,1
0.32,0.93,0.2210526315789474,0.01,1
0.12,1.03,0.2368421052631579,0.01,1
0.05,1.12,0.25263157894736843,0.01,1
0.06,1.11,0.26842105263157895,0.01,1
0.02,1.22,0.28421052631578947,0.01,1
0.16,1.03,0.3,0.01,1
